Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.336741,0.871205,0.431626
1,0.302022,0.875078,0.429945
2,0.271063,0.878462,0.428422
3,0.230285,0.882867,0.426384
4,0.185417,0.887305,0.424025
5,0.141942,0.890267,0.421567
6,0.103411,0.891132,0.419113
7,0.0713241,0.897678,0.414566
8,0.0472092,0.908596,0.405945
9,0.0300131,0.908303,0.398046
10,0.0179647,0.916038,0.391701
11,0.0101001,0.919163,0.385514
12,0.00699962,0.920565,0.381904
13,0.00546315,0.92235,0.379268
14,0.00441527,0.922645,0.376538
15,0.00365719,0.924157,0.37409
16,0.00308913,0.924865,0.371337
17,0.00266996,0.925804,0.368804
18,0.00234668,0.926619,0.366322
19,0.00208958,0.927282,0.364058
20,0.00199801,0.927414,0.363795
