Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.35205,0.956757,0.136549
1,0.316217,0.9588,0.133591
2,0.284126,0.960684,0.130866
3,0.241799,0.963278,0.127175
4,0.194903,0.966251,0.122862
5,0.148999,0.969096,0.118336
6,0.108214,0.971554,0.113908
7,0.0748655,0.974594,0.109373
8,0.0495197,0.980256,0.104039
9,0.0312076,0.983691,0.0995899
10,0.0185202,0.985951,0.0942698
11,0.0105048,0.987568,0.0890557
12,0.00563197,0.989087,0.0851144
13,0.00401818,0.989567,0.0835597
14,0.00295331,0.990168,0.0822861
15,0.00227146,0.990372,0.0815898
16,0.00200298,0.990499,0.0813433
17,0.00199801,0.9905,0.0813422
