Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.35205,0.871205,0.431626
1,0.315849,0.87516,0.42999
2,0.283526,0.878739,0.428513
3,0.240893,0.883609,0.426527
4,0.193776,0.889066,0.424159
5,0.148015,0.893475,0.421502
6,0.107627,0.894097,0.418923
7,0.0739063,0.8961,0.415034
8,0.0490425,0.90502,0.407071
9,0.0310842,0.907531,0.400177
10,0.0184558,0.914732,0.395444
11,0.0103798,0.917272,0.391751
12,0.00556818,0.918499,0.389083
13,0.00383933,0.920194,0.38756
14,0.00288281,0.920387,0.38667
15,0.0022467,0.92094,0.385968
16,0.00199789,0.921132,0.385763
