Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.35205,0.895319,0.375012
1,0.315971,0.899102,0.37316
2,0.283732,0.902535,0.371488
3,0.241243,0.907202,0.369251
4,0.194295,0.912426,0.366626
5,0.14862,0.916807,0.363766
6,0.108224,0.918238,0.361011
7,0.074686,0.918898,0.357412
8,0.0497112,0.925854,0.351655
9,0.0315781,0.930879,0.345766
10,0.0188239,0.933593,0.342605
11,0.0105475,0.937002,0.339962
12,0.00566936,0.938075,0.337618
13,0.00400027,0.938737,0.336511
14,0.00292098,0.939504,0.33565
15,0.00232328,0.939449,0.335227
16,0.00200202,0.939868,0.334931
17,0.001998,0.939865,0.33493
