Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.19609,0.666667,0.333333
1,1.05677,0.675881,0.324809
2,0.938669,0.684492,0.317875
3,0.781998,0.697067,0.309182
4,0.612991,0.712608,0.300279
5,0.452938,0.730624,0.29186
6,0.2994,0.759858,0.280676
7,0.203497,0.797134,0.255327
8,0.134492,0.809012,0.242947
9,0.0845342,0.832639,0.2339
10,0.0506588,0.852536,0.227161
11,0.0316118,0.866212,0.21786
12,0.0185005,0.878281,0.209115
13,0.0108956,0.890345,0.199441
14,0.00814909,0.895284,0.195281
15,0.00618367,0.899573,0.192254
16,0.00491617,0.902419,0.189593
17,0.00407161,0.90516,0.18766
18,0.00330881,0.907304,0.185637
19,0.00279863,0.910144,0.183471
20,0.00240052,0.9111,0.182241
21,0.00210976,0.913604,0.179907
22,0.00200077,0.913632,0.179891
23,0.00199828,0.913624,0.17989
