Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.0177577,0,1
1,0.0173439,0.00142128,0.999969
2,0.0169446,0.00257469,0.999938
3,0.0163414,0.00469412,0.999888
4,0.0153356,0.00886096,0.999793
5,0.014437,0.0134524,0.999627
6,0.0135975,0.0187712,0.999425
7,0.012788,0.0250302,0.999209
8,0.0119665,0.032669,0.998986
9,0.0109669,0.0416431,0.998719
10,0.00999393,0.0518394,0.998347
11,0.00934916,0.0622534,0.997976
12,0.00902782,0.073394,0.9976
13,0.00930896,0.0850561,0.997287
14,0.0102452,0.0958745,0.997193
15,0.0114131,0.105757,0.997291
16,0.0126593,0.11446,0.997541
17,0.0144949,0.122775,0.997919
18,0.0171033,0.131211,0.998399
19,0.0200654,0.13969,0.998992
20,0.0238302,0.149594,0.999993
21,0.0288395,0.162771,1.00183
22,0.0357148,0.181822,1.0055
