Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.107196,0.666667,0.333333
1,0.106498,0.667197,0.33293
2,0.105934,0.667808,0.332704
3,0.105305,0.668903,0.332713
4,0.104912,0.670758,0.333454
5,0.105147,0.673955,0.335726
6,0.105338,0.680489,0.340659
7,0.103677,0.6893,0.347341
8,0.100528,0.699715,0.356207
9,0.096735,0.711935,0.367449
10,0.0932462,0.727021,0.381749
11,0.091372,0.743214,0.398974
12,0.0912433,0.760891,0.419683
13,0.0925713,0.778396,0.442536
14,0.0951516,0.80035,0.471439
15,0.0995392,0.81817,0.495595
