Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.108963,0.666667,0.333333
1,0.108678,0.666763,0.333259
2,0.108467,0.666873,0.333215
3,0.108272,0.667066,0.333206
4,0.10803,0.667381,0.333286
5,0.106543,0.667878,0.333397
6,0.103879,0.668623,0.333645
7,0.0991722,0.66994,0.334265
8,0.0944343,0.67161,0.335216
9,0.0905198,0.673644,0.336602
10,0.0878751,0.676261,0.338554
11,0.0860306,0.679588,0.34088
12,0.0865875,0.683537,0.343844
13,0.0904028,0.687435,0.347549
14,0.0963098,0.691337,0.351876
15,0.100974,0.694801,0.356245
16,0.104205,0.698642,0.36092
17,0.106423,0.703966,0.366068
18,0.108172,0.708977,0.371044
19,0.109738,0.713967,0.376229
20,0.111029,0.719281,0.381562
21,0.112091,0.72499,0.386967
22,0.113225,0.730958,0.392466
23,0.114276,0.736666,0.398086
24,0.115371,0.742381,0.403832
25,0.116679,0.748039,0.409985
26,0.118121,0.753772,0.416226
27,0.119652,0.759384,0.422582
28,0.121084,0.764903,0.428489
