Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.108962,0.666667,0.333333
1,0.108738,0.666687,0.333318
2,0.108549,0.666709,0.333309
3,0.108322,0.666747,0.33331
4,0.108128,0.666805,0.333338
5,0.107639,0.66689,0.333402
6,0.106468,0.667021,0.333515
7,0.104785,0.66725,0.333756
8,0.103,0.667542,0.334061
9,0.101023,0.667894,0.334411
10,0.0993065,0.668305,0.334838
11,0.0979008,0.668771,0.335361
12,0.096553,0.669293,0.335971
13,0.0951323,0.669876,0.336679
14,0.0936787,0.670574,0.337513
15,0.0924263,0.671376,0.33839
16,0.0915912,0.672305,0.339344
17,0.0907544,0.673276,0.340334
18,0.0897782,0.674341,0.34134
19,0.0884655,0.675505,0.342395
20,0.0866227,0.676755,0.343636
21,0.0842721,0.678081,0.345213
22,0.0815254,0.679528,0.347074
23,0.0785423,0.681282,0.349368
24,0.0763075,0.683064,0.352078
25,0.0744231,0.684951,0.355214
26,0.0725041,0.686203,0.35711
27,0.0703295,0.687479,0.359428
28,0.0681527,0.689115,0.362332
29,0.0662032,0.691033,0.365782
30,0.0642977,0.693117,0.369459
31,0.0621894,0.694961,0.371993
32,0.0606919,0.696747,0.37499
33,0.0601865,0.698903,0.378375
34,0.0615284,0.701565,0.382525
35,0.0639115,0.703949,0.385475
36,0.0698814,0.706338,0.389207
37,0.0799688,0.7092,0.393389
38,0.0951897,0.712556,0.398253
39,0.115065,0.716487,0.403909
40,0.136298,0.720515,0.409863
41,0.163181,0.725827,0.417899
42,0.196277,0.733314,0.42892
43,0.236524,0.743991,0.444203
44,0.285072,0.759364,0.465815
45,0.343756,0.782114,0.496934
46,0.418608,0.817852,0.544756
47,0.502995,0.87013,0.611986
48,0.590084,0.942861,0.701563
49,0.677022,1.04202,0.819089
50,0.763272,1.17656,0.973646
51,0.849481,1.36607,1.18823
52,0.911829,1.52906,1.34508
53,0.963214,1.72416,1.55309
54,0.993451,1.98948,1.83383
55,1.00066,2.34282,2.20769
56,1.00143,2.78625,2.66941
57,1.00602,3.03325,2.86341
58,1.00983,3.27795,3.12533
59,1.01361,3.58433,3.45912
60,1.01539,3.99467,3.92571
61,1.01127,4.55163,4.57163
62,0.997897,5.37146,5.54833
63,0.977013,6.60539,7.02296
64,0.974091,7.5385,7.69237
65,0.974079,8.31652,8.63452
66,0.978729,9.35771,9.85025
67,0.984556,10.7162,11.4238
68,0.991588,12.4469,13.3576
69,0.999824,14.5694,15.6528
70,1.00348,17.1718,18.4004
71,1.00498,20.1244,21.394
72,1.00365,22.6014,23.5329
73,0.997291,24.9699,26.2845
74,1.00113,27.516,28.5976
75,1.00997,29.9853,31.2031
