Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,1
0.692928,2
0.657623,2
0.624117,2
0.592318,2
0.56214,2
0.533499,2
0.506317,2
0.48052,2
0.456038,3
0.432803,4
0.410751,4
0.389823,4
0.369962,4
0.351112,5
0.333223,5
0.316246,5
0.300133,6
0.284841,6
0.284556,7
0.386376,5
0.36669,5
0.348007,6
0.330276,6
0.329946,7
0.425242,6
0.403576,6
0.403172,6
0.402769,7
0.4876,6
0.462757,6
0.462294,6
0.461832,6
0.46137,6
0.460908,5
0.437425,5
0.415138,5
0.393987,5
0.373913,5
0.354863,5
0.336782,6
0.319623,6
0.319304,6
0.318984,6
0.318665,6
0.318347,7
0.41531,5
0.39415,5
0.374068,5
0.355009,6
0.336921,8
0.502188,3
0.476602,4
0.452319,4
