Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.108962,0.666667,0.333333
1,0.108677,0.666763,0.333259
2,0.108466,0.666873,0.333215
3,0.108271,0.667066,0.333206
4,0.108029,0.667381,0.333286
5,0.106541,0.667878,0.333397
6,0.103877,0.668623,0.333644
7,0.0991698,0.66994,0.334265
8,0.0944309,0.671611,0.335216
9,0.0905152,0.673644,0.336601
10,0.0878697,0.676261,0.338552
11,0.0860257,0.679588,0.340878
12,0.0865831,0.683537,0.343841
13,0.0903986,0.687435,0.347545
14,0.0963088,0.691337,0.351871
15,0.100972,0.6948,0.356239
16,0.104205,0.698641,0.360914
17,0.106427,0.703967,0.366064
18,0.108177,0.708977,0.371041
19,0.109744,0.713968,0.376227
20,0.111035,0.719282,0.381561
21,0.112097,0.724991,0.38697
22,0.113231,0.730963,0.392472
23,0.114282,0.736674,0.398096
24,0.115378,0.742392,0.403847
25,0.116686,0.748055,0.410003
26,0.118129,0.753791,0.416249
27,0.11966,0.759408,0.422613
28,0.121092,0.764934,0.428522
29,0.122622,0.770061,0.434519
30,0.124279,0.775071,0.440292
31,0.126274,0.779824,0.446299
32,0.128885,0.784502,0.45215
33,0.131856,0.788661,0.458045
34,0.134605,0.793197,0.464641
35,0.137332,0.79824,0.471468
36,0.140141,0.80349,0.478764
37,0.14313,0.809047,0.48662
38,0.146324,0.815001,0.494603
39,0.150021,0.821122,0.502998
40,0.155036,0.827436,0.511694
41,0.161123,0.834348,0.521113
42,0.160249,0.838139,0.531199
43,0.160025,0.847055,0.542841
44,0.160905,0.858051,0.555899
45,0.163634,0.869345,0.570069
46,0.170865,0.882762,0.586592
47,0.185979,0.89771,0.606168
48,0.190099,0.91078,0.624541
49,0.198221,0.930799,0.648109
50,0.218685,0.961499,0.68424
51,0.25857,1.0165,0.751119
52,0.289339,1.08122,0.827844
53,0.338245,1.21216,0.978476
54,0.379281,1.38292,1.16911
55,0.434983,1.69542,1.50129
56,0.50668,2.0763,1.8878
