Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,1
0.692928,2
0.657623,2
0.624117,2
0.592318,2
0.56214,3
0.533499,4
0.506317,4
0.48052,4
0.456038,3
0.432803,3
0.410751,3
0.389823,4
0.369962,4
0.351112,4
0.333223,4
0.316246,5
0.300133,5
0.284841,5
0.270328,5
0.256555,5
0.243484,5
0.231078,5
0.219305,5
0.208131,5
0.197527,5
0.187463,6
0.177912,6
0.177734,6
0.177556,6
0.177378,6
0.177201,6
0.177024,6
0.176847,6
0.17667,6
0.176493,7
0.293843,4
0.278872,4
0.264663,5
0.251179,5
0.238381,6
0.226236,7
0.336437,5
0.319295,5
0.303027,6
0.287588,7
0.388972,6
0.369154,7
0.458815,6
0.435439,7
