Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.108958,0,1
1,0.108579,0.0115341,0.999737
2,0.107814,0.0234327,0.999542
3,0.106135,0.0414317,0.99943
4,0.102992,0.0653178,0.999631
5,0.0977574,0.0943892,1.00045
6,0.0894899,0.128088,1.00224
7,0.0799039,0.166251,1.0058
8,0.081705,0.206893,1.01345
9,0.0832692,0.258627,1.02581
10,0.0823071,0.314944,1.0417
11,0.0818551,0.381157,1.06337
12,0.0833127,0.474851,1.09885
13,0.0746351,0.579144,1.14481
14,0.0689569,0.701686,1.20937
15,0.0688106,0.820976,1.28423
16,0.0632333,0.852673,1.30775
17,0.0655909,0.990256,1.41095
18,0.0632922,1.05476,1.46272
19,0.0689479,1.22143,1.60207
20,0.0659361,1.30929,1.6771
21,0.0733829,1.53025,1.87384
22,0.0669529,1.53282,1.87718
23,0.0729343,1.76084,2.09022
24,0.0725762,2.02339,2.34168
25,0.0941483,2.43305,2.74326
26,0.0770835,2.43242,2.74286
