Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.142827,0.666667,0.333333
1,0.142312,0.667996,0.332703
2,0.143491,0.670114,0.332757
3,0.145292,0.673337,0.333544
4,0.14627,0.677535,0.335116
5,0.145973,0.682072,0.337367
6,0.145147,0.686686,0.340282
7,0.144384,0.691407,0.343932
8,0.143973,0.696337,0.348426
9,0.147505,0.703473,0.357231
10,0.148837,0.711693,0.367699
11,0.148826,0.720465,0.379089
12,0.146567,0.731743,0.395673
13,0.146155,0.745045,0.417321
14,0.148797,0.759561,0.440913
15,0.155632,0.775277,0.468335
16,0.158544,0.78928,0.487809
17,0.167092,0.806573,0.512811
