Iteration,rel. Discrepancy,Norm
0,1,0
1,0.996557,0.00086842
2,0.989098,0.00352139
3,0.986198,0.00471912
4,0.98253,0.00654959
5,0.97588,0.0108673
6,0.971554,0.0141844
7,0.969497,0.0159333
8,0.966782,0.0184372
9,0.963586,0.0216389
10,0.961819,0.0235277
11,0.958027,0.0278728
12,0.954601,0.0320973
13,0.95318,0.0339376
14,0.949882,0.0384047
15,0.944783,0.0457815
16,0.940755,0.0519991
17,0.938774,0.0551811
18,0.936705,0.0585752
19,0.930984,0.0683859
20,0.929932,0.0702492
21,0.922569,0.0837363
22,0.919043,0.0904332
23,0.916683,0.0949913
24,0.911781,0.10465
25,0.908675,0.110876
26,0.903826,0.120739
27,0.899551,0.129565
28,0.891357,0.146803
29,0.888139,0.153674
30,0.885555,0.159223
31,0.878278,0.175028
32,0.874461,0.183401
33,0.871854,0.189161
34,0.866399,0.20129
35,0.864236,0.206134
36,0.859228,0.217422
37,0.854072,0.229144
38,0.851714,0.234553
39,0.849534,0.239564
40,0.844856,0.250376
41,0.843541,0.253432
42,0.839835,0.262103
43,0.836662,0.269565
44,0.831414,0.282052
45,0.828496,0.289048
46,0.826252,0.294459
47,0.818545,0.31323
48,0.816776,0.317566
49,0.809011,0.336734
50,0.803226,0.351135
51,0.799313,0.360942
52,0.793412,0.375785
53,0.786163,0.394122
54,0.783898,0.399864
55,0.775733,0.420592
56,0.770831,0.433119
57,0.768819,0.438263
58,0.761266,0.457586
59,0.754866,0.473966
60,0.74702,0.494109
61,0.743511,0.503111
62,0.738959,0.514799
63,0.734141,0.527158
64,0.722637,0.556608
65,0.712104,0.583521
66,0.701259,0.611101
