Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.174688,0.666667,0.333333
1,0.159375,0.667374,0.332675
2,0.145393,0.668113,0.332075
3,0.126773,0.669272,0.331274
4,0.105592,0.670968,0.330321
5,0.0837886,0.673536,0.329168
6,0.0624453,0.678243,0.327409
7,0.0499363,0.685748,0.323507
8,0.0337806,0.694086,0.318209
9,0.0227079,0.704891,0.3148
10,0.0148962,0.715496,0.312212
11,0.0103257,0.725521,0.309168
12,0.00614146,0.733039,0.305925
13,0.00481726,0.738026,0.303674
14,0.00401011,0.740575,0.302878
15,0.00359631,0.745655,0.301251
16,0.00295736,0.745681,0.301165
17,0.00296475,0.751976,0.299497
18,0.00271109,0.751975,0.299494
19,0.00236957,0.751887,0.299466
20,0.00224151,0.751776,0.299418
21,0.00216785,0.752037,0.299199
22,0.00209136,0.75397,0.298661
23,0.00200242,0.753822,0.298573
24,0.00199862,0.75382,0.298571
