Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.205062,0.666667,0.333333
1,0.0871053,0.686709,0.3231
2,0.058363,0.713001,0.305042
3,0.0251203,0.769209,0.278275
4,0.0119615,0.793742,0.265975
5,0.00511906,0.816284,0.25557
6,0.00192292,0.829544,0.248433
7,0.00130316,0.830836,0.24625
8,0.000781794,0.837814,0.243142
9,0.000553876,0.839552,0.241084
10,0.000414428,0.842973,0.239394
11,0.000317271,0.845843,0.237254
12,0.000256488,0.848551,0.234823
13,0.00020939,0.851716,0.232374
14,0.000190396,0.851692,0.232071
