Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571792,0,1
1,0.418117,0.0957111,0.984506
2,0.346579,0.206241,0.955976
3,0.293785,0.255125,0.943959
4,0.243532,0.315762,0.933321
5,0.1826,0.430845,0.905795
6,0.142087,0.498917,0.875338
7,0.120286,0.531795,0.858091
8,0.0961246,0.574622,0.834863
9,0.0782955,0.609301,0.818202
10,0.0692614,0.628403,0.810421
11,0.058426,0.652322,0.800954
12,0.0547678,0.660456,0.797774
13,0.0488103,0.676299,0.792583
14,0.0464427,0.682538,0.790442
15,0.0412366,0.70207,0.783554
16,0.0393401,0.705541,0.781668
17,0.0358993,0.716472,0.776602
18,0.0341268,0.726036,0.77139
19,0.0302798,0.741008,0.762286
20,0.0283975,0.744444,0.758219
21,0.0258674,0.757652,0.745265
22,0.0245059,0.75686,0.742462
23,0.0232767,0.760432,0.734871
24,0.0226661,0.761029,0.732903
25,0.0219749,0.762807,0.72872
26,0.0214047,0.765357,0.724402
27,0.0201853,0.769003,0.716359
28,0.019795,0.769953,0.712539
