Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571763,0,1
1,0.418051,0.0709035,0.9891
2,0.346535,0.15536,0.960839
3,0.293715,0.201897,0.95164
4,0.24342,0.257014,0.943169
5,0.182485,0.356126,0.914508
6,0.151196,0.4031,0.89079
7,0.139594,0.420168,0.881015
8,0.0922222,0.522457,0.835565
9,0.079637,0.524288,0.820013
10,0.0646967,0.546281,0.802874
11,0.0454701,0.615844,0.781282
12,0.0320359,0.642911,0.761365
13,0.0283335,0.656246,0.751075
14,0.024579,0.673955,0.736216
15,0.020858,0.692986,0.71168
16,0.0201119,0.692993,0.711673
17,0.0191427,0.694768,0.706541
18,0.0179313,0.700163,0.697247
19,0.0166711,0.705742,0.68704
20,0.01553,0.713194,0.675824
21,0.0137063,0.725333,0.655936
22,0.0132781,0.724685,0.655468
23,0.0126431,0.727241,0.648827
24,0.0125772,0.727373,0.648182
25,0.0118108,0.732443,0.639674
26,0.0115198,0.73424,0.635795
27,0.0112228,0.735532,0.633447
28,0.0108724,0.738388,0.628908
29,0.0105505,0.740182,0.625623
30,0.0102669,0.741973,0.622461
31,0.0100942,0.744194,0.618922
32,0.0100057,0.744164,0.618909
33,0.00999027,0.74416,0.618905
