Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571762,0,1
1,0.44657,0.080017,0.975585
2,0.353025,0.192536,0.920326
3,0.306208,0.235669,0.893451
4,0.254671,0.292531,0.862979
5,0.198603,0.37586,0.827823
6,0.150192,0.454841,0.792813
7,0.112731,0.524057,0.762061
8,0.091752,0.568369,0.742338
9,0.0757846,0.604025,0.725522
10,0.0651313,0.628862,0.712921
11,0.0536405,0.655252,0.698856
12,0.0470589,0.670369,0.690502
13,0.0393923,0.689445,0.680699
14,0.0360897,0.697284,0.676538
15,0.0315479,0.70924,0.670616
16,0.0291993,0.715561,0.66745
17,0.0257885,0.725527,0.662711
18,0.0241516,0.730416,0.660333
19,0.0216393,0.738733,0.656463
20,0.0204388,0.742618,0.654548
21,0.0184713,0.749886,0.6511
22,0.0176123,0.753069,0.649479
23,0.0160561,0.759627,0.646213
24,0.0154823,0.761875,0.644931
25,0.0142623,0.767405,0.64182
26,0.0138635,0.769019,0.640718
27,0.0128757,0.773652,0.63765
28,0.0125935,0.774788,0.636717
29,0.0117766,0.778798,0.63373
30,0.0115775,0.7796,0.632973
31,0.0108788,0.783249,0.63005
32,0.0107272,0.783864,0.629408
33,0.0101138,0.787278,0.626574
34,0.00999549,0.787771,0.626031
35,0.00944049,0.791067,0.623263
36,0.00934799,0.79145,0.622814
37,0.0088476,0.794607,0.620153
38,0.00877435,0.794914,0.619776
39,0.00831751,0.797925,0.617231
40,0.00825878,0.798168,0.616916
41,0.00783847,0.801076,0.614469
42,0.00779719,0.801227,0.614246
43,0.00741251,0.803985,0.611938
44,0.00737979,0.804094,0.611757
45,0.00702914,0.806731,0.60958
46,0.00700994,0.806778,0.609478
47,0.00668821,0.809274,0.607429
48,0.00667288,0.809294,0.607347
49,0.0063866,0.811624,0.605469
50,0.00612446,0.813749,0.603729
51,0.00568733,0.817755,0.600671
52,0.00543949,0.819777,0.598953
53,0.00498751,0.824487,0.595492
54,0.00480616,0.825906,0.594178
