Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,3
0.771637,5
0.733056,8
0.696403,13
0.813171,14
0.826516,17
0.857131,16
0.814274,23
0.870799,13
0.827259,26
0.91363,13
0.867948,22
0.921969,14
0.875871,26
0.933161,15
0.886503,30
0.943252,17
0.896089,36
0.950931,19
0.903384,48
0.961756,21
0.913669,60
0.969784,23
0.921295,77
0.976491,24
0.927666,94
0.981532,25
0.932455,112
0.984923,26
0.935677,130
0.987135,26
0.937779,150
0.989215,25
0.939754,167
0.990981,24
0.941432,183
0.992319,20
0.942703,199
0.994242,18
0.944529,211
0.995268,12
0.945505,223
0.997068,10
0.947214,233
0.997735,3
0.947848,236
0.900455,239
0.901705,475
0.950542,301
0.903015,711
0.958942,298
