Iteration,rel. Discrepancy,Norm
0,1,0
1,0.999578,0.06906
2,0.999272,0.0836466
3,0.998987,0.132003
4,0.998733,0.154779
5,0.998491,0.197992
6,0.99825,0.222539
7,0.998029,0.262178
8,0.997796,0.288303
9,0.997585,0.325315
10,0.99736,0.352764
11,0.997154,0.388194
12,0.996933,0.416675
13,0.996728,0.451168
14,0.99651,0.480301
15,0.996307,0.514232
16,0.996092,0.543705
17,0.995889,0.577341
18,0.995676,0.606984
19,0.995474,0.640422
20,0.995262,0.670154
21,0.995062,0.703476
22,0.99485,0.733276
23,0.994651,0.766476
24,0.99444,0.796336
25,0.994241,0.829435
26,0.994031,0.859334
27,0.993833,0.892338
28,0.993624,0.922269
29,0.993426,0.955213
30,0.993217,0.985164
31,0.99302,1.01805
32,0.992811,1.04802
33,0.992615,1.08086
34,0.992407,1.11085
35,0.99221,1.14364
36,0.992003,1.17363
37,0.991807,1.20637
38,0.991599,1.23639
39,0.991404,1.26908
40,0.991196,1.2991
41,0.991001,1.33175
42,0.990794,1.36179
43,0.9906,1.39439
44,0.990393,1.42444
45,0.990198,1.457
46,0.989992,1.48705
47,0.989798,1.51957
48,0.989592,1.54962
49,0.989398,1.58209
50,0.989192,1.61215
51,0.988998,1.64457
52,0.988793,1.67463
53,0.9886,1.707
54,0.988394,1.73706
55,0.988201,1.76939
56,0.987997,1.79945
57,0.987804,1.83174
58,0.987599,1.86179
59,0.987407,1.89404
60,0.987202,1.92409
61,0.98701,1.9563
62,0.986806,1.98634
63,0.986614,2.01852
64,0.98641,2.04855
65,0.986218,2.08069
66,0.986015,2.11073
67,0.985823,2.14283
68,0.98562,2.17285
69,0.985429,2.20491
70,0.985226,2.23493
71,0.985035,2.26695
72,0.984832,2.29696
73,0.984641,2.32894
74,0.984438,2.35894
75,0.984248,2.39089
76,0.984046,2.42087
77,0.983855,2.45279
78,0.983653,2.48276
79,0.983463,2.51465
80,0.983261,2.5446
81,0.983072,2.57646
82,0.98287,2.60639
83,0.98268,2.63821
84,0.982479,2.66813
85,0.98229,2.69992
86,0.982089,2.72983
87,0.9819,2.76159
88,0.981699,2.79147
89,0.98151,2.8232
90,0.981309,2.85307
91,0.981121,2.88477
92,0.98092,2.91462
93,0.980732,2.94629
94,0.980532,2.97612
95,0.980344,3.00776
96,0.980144,3.03758
97,0.979956,3.06918
98,0.979756,3.09898
99,0.979569,3.13055
100,0.979369,3.16034
101,0.979182,3.19188
102,0.978983,3.22165
103,0.978795,3.25316
104,0.978596,3.28291
105,0.978409,3.31439
106,0.978211,3.34413
107,0.978024,3.37558
108,0.977825,3.4053
109,0.977639,3.43672
110,0.97744,3.46642
111,0.977254,3.49781
112,0.977056,3.52749
113,0.97687,3.55886
114,0.976672,3.58852
115,0.976486,3.61986
116,0.976289,3.6495
117,0.976103,3.68082
118,0.975905,3.71044
119,0.97572,3.74172
120,0.975523,3.77133
121,0.975338,3.80259
122,0.975141,3.83217
123,0.974956,3.8634
124,0.974759,3.89296
125,0.974574,3.92416
126,0.974377,3.9537
127,0.974193,3.98488
128,0.973996,4.0144
129,0.973812,4.04554
130,0.973616,4.07505
131,0.973432,4.10616
132,0.973236,4.13565
133,0.973052,4.16674
134,0.972856,4.19621
135,0.972672,4.22727
136,0.972477,4.25672
137,0.972293,4.28775
138,0.972098,4.31718
139,0.971915,4.34818
140,0.97172,4.3776
141,0.971537,4.40857
142,0.971342,4.43797
143,0.971159,4.46892
144,0.970964,4.4983
145,0.970781,4.52922
146,0.970587,4.55858
147,0.970404,4.58947
148,0.97021,4.61881
149,0.970028,4.64968
150,0.969834,4.679
151,0.969652,4.70984
152,0.969458,4.73913
153,0.969276,4.76996
154,0.969082,4.79923
155,0.968901,4.83002
156,0.968707,4.85927
157,0.968526,4.89005
158,0.968333,4.91927
159,0.968151,4.95002
160,0.967958,4.97923
161,0.967777,5.00995
162,0.967584,5.03913
163,0.967404,5.06983
164,0.967211,5.09899
165,0.96703,5.12967
166,0.966838,5.15881
167,0.966657,5.18946
168,0.966465,5.21858
169,0.966285,5.2492
170,0.966093,5.27831
171,0.965913,5.3089
172,0.965721,5.33798
173,0.965541,5.36856
174,0.96535,5.39762
175,0.96517,5.42817
176,0.964979,5.45721
177,0.964799,5.48773
178,0.964608,5.51675
179,0.964429,5.54725
180,0.964238,5.57624
181,0.964059,5.60672
182,0.963868,5.6357
183,0.963689,5.66615
184,0.963499,5.6951
185,0.96332,5.72553
186,0.963129,5.75447
187,0.962951,5.78487
188,0.962761,5.81378
189,0.962583,5.84416
190,0.962393,5.87306
191,0.962214,5.90341
192,0.962025,5.93228
193,0.961847,5.96261
194,0.961657,5.99147
195,0.961479,6.02177
196,0.96129,6.0506
197,0.961113,6.08088
198,0.960923,6.10969
199,0.960746,6.13994
200,0.960557,6.16874
201,0.96038,6.19896
202,0.960191,6.22774
203,0.960014,6.25794
204,0.959826,6.2867
205,0.959649,6.31687
206,0.959461,6.34561
207,0.959284,6.37576
208,0.959096,6.40448
209,0.958919,6.43461
210,0.958731,6.4633
211,0.958555,6.49341
212,0.958367,6.52208
213,0.958191,6.55216
214,0.958004,6.58082
215,0.957828,6.61087
216,0.957641,6.63951
217,0.957465,6.66954
218,0.957278,6.69816
219,0.957102,6.72817
220,0.956915,6.75676
221,0.95674,6.78675
222,0.956553,6.81532
223,0.956378,6.84528
224,0.956191,6.87383
225,0.956017,6.90377
226,0.95583,6.9323
227,0.955655,6.96222
228,0.955469,6.99073
229,0.955295,7.02062
230,0.955109,7.04911
231,0.954934,7.07898
232,0.954748,7.10744
233,0.954574,7.13729
234,0.954389,7.16574
235,0.954215,7.19556
236,0.954029,7.22399
237,0.953855,7.25379
238,0.95367,7.2822
239,0.953496,7.31197
