Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571791,0,1
1,0.446605,0.0619256,0.973616
2,0.353066,0.172415,0.916037
3,0.306249,0.221552,0.891501
4,0.254717,0.286788,0.866907
5,0.19866,0.374406,0.84163
6,0.150268,0.461685,0.824334
7,0.112832,0.540604,0.815243
8,0.0918787,0.592694,0.812084
9,0.0759394,0.636211,0.810873
10,0.0653123,0.667649,0.8105
11,0.0536639,0.702992,0.810436
12,0.0473706,0.721919,0.81036
13,0.0397291,0.745566,0.810324
14,0.0355975,0.758827,0.810267
15,0.0305221,0.77666,0.810212
16,0.0284372,0.783933,0.810111
17,0.0253804,0.795698,0.809969
18,0.0238822,0.801418,0.809843
19,0.0214057,0.812148,0.80964
20,0.0203767,0.816637,0.809505
21,0.0185153,0.825753,0.809253
22,0.0178348,0.829052,0.809126
23,0.0164148,0.836834,0.808839
24,0.0159567,0.839083,0.808711
25,0.0148176,0.845436,0.80836
26,0.0144942,0.846952,0.808231
27,0.0135565,0.852065,0.807813
28,0.0133313,0.853003,0.807689
29,0.0125289,0.857456,0.807183
30,0.0123596,0.85814,0.807052
31,0.0116675,0.862209,0.806446
32,0.0115406,0.862738,0.806315
33,0.0109377,0.866558,0.805649
34,0.0108399,0.866968,0.805529
35,0.0103121,0.870634,0.80485
36,0.0102382,0.870937,0.804746
37,0.0100249,0.872415,0.804442
38,0.0100016,0.872534,0.804408
39,0.00999161,0.872594,0.804393
