Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571765,0,1
1,0.446584,0.0619238,0.973617
2,0.353057,0.172406,0.916041
3,0.306249,0.221536,0.891507
4,0.254723,0.286769,0.866915
5,0.19867,0.374385,0.841638
6,0.15028,0.461666,0.824344
7,0.112844,0.54059,0.815254
8,0.0918884,0.592687,0.812097
9,0.0759465,0.636211,0.810888
10,0.0653179,0.667653,0.810517
11,0.053668,0.703002,0.810456
12,0.0473742,0.721932,0.810383
13,0.0397323,0.745583,0.810348
14,0.0356003,0.758847,0.810293
15,0.0305249,0.776683,0.810241
16,0.02844,0.783959,0.81014
17,0.0253833,0.795727,0.81
18,0.0238853,0.801449,0.809874
19,0.0214094,0.812181,0.809673
20,0.0203807,0.816673,0.809539
21,0.0185199,0.825793,0.809289
22,0.0178399,0.829092,0.809162
23,0.0164205,0.83688,0.808876
24,0.0159627,0.839131,0.808749
25,0.0148244,0.845488,0.808399
26,0.0145014,0.847005,0.80827
27,0.0135643,0.852123,0.807853
28,0.0133392,0.853061,0.807728
29,0.0125371,0.857517,0.807221
30,0.0123679,0.858202,0.807091
31,0.0116761,0.862271,0.806483
