Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.37077,0,1
1,1.11198,0.270293,1.02935
2,0.973634,0.49249,1.10126
3,0.779282,0.574259,1.13048
4,0.587381,0.790287,1.23552
5,0.523112,0.806098,1.23128
6,0.429684,0.831332,1.22688
7,0.341073,0.876389,1.22408
8,0.274346,0.898506,1.20041
9,0.237407,0.900599,1.18725
10,0.198217,0.920186,1.17285
11,0.180959,0.933895,1.17056
12,0.157417,0.954738,1.16699
13,0.1403,0.984699,1.17001
14,0.119429,1.01207,1.1732
15,0.109856,1.02797,1.17466
16,0.0964685,1.04241,1.16739
17,0.0917548,1.04193,1.16364
18,0.0840464,1.04594,1.15512
19,0.0791171,1.05138,1.15189
20,0.0717652,1.05218,1.13938
21,0.0691961,1.05088,1.13504
22,0.0639008,1.05034,1.12422
23,0.0617734,1.0473,1.11869
24,0.057474,1.04547,1.10885
25,0.0556408,1.04106,1.10206
26,0.0520249,1.03469,1.08755
27,0.0505811,1.03141,1.08245
28,0.0473333,1.02529,1.06967
29,0.0457713,1.02301,1.06593
30,0.0426635,1.02029,1.0555
31,0.0417852,1.01769,1.05209
32,0.0393641,1.01469,1.04298
33,0.0383782,1.01259,1.03937
34,0.0357852,1.01303,1.0329
35,0.0351044,1.01274,1.03132
36,0.0330065,1.01431,1.0259
37,0.0323527,1.01352,1.02405
38,0.0303213,1.01413,1.01808
