Iteration,rel. Discrepancy,Norm
0,1,0
1,0.998941,1.74118
2,0.997824,3.42215
3,0.997571,3.48552
4,0.997146,4.99189
5,0.996547,7.30675
6,0.996421,7.22319
7,0.995841,7.59501
8,0.9955,7.66903
9,0.995069,8.07977
10,0.994939,8.07828
11,0.994676,8.36897
12,0.994595,8.42676
13,0.994547,8.46247
14,0.992137,12.0605
15,0.990664,13.0115
16,0.990461,13.2106
17,0.990377,13.2568
18,0.989895,14.039
19,0.989791,14.1039
20,0.98972,14.1436
21,0.989675,14.1734
22,0.989494,14.3621
23,0.989411,14.4229
24,0.98772,16.5414
25,0.986775,16.7677
26,0.986644,16.8464
27,0.984907,19.2804
28,0.98431,19.3782
29,0.983744,19.6304
30,0.983634,19.6093
31,0.983341,19.9284
32,0.983088,20.3189
33,0.982954,20.4314
34,0.982737,20.8179
35,0.982595,20.9015
36,0.966827,54.7373
37,0.960026,54.8254
38,0.956811,54.6936
39,0.956418,54.7836
40,0.956133,54.8229
41,0.955556,54.9905
42,0.955357,55.0408
43,0.954799,55.2397
44,0.954512,55.2915
45,0.953639,55.7938
46,0.953438,55.8421
47,0.953073,55.9071
48,0.952963,55.9262
49,0.952792,56.0742
50,0.95266,56.115
51,0.951707,56.8691
52,0.951125,56.9786
53,0.951025,57.0984
54,0.950964,57.0663
55,0.950796,57.2832
56,0.950709,57.2779
57,0.943424,68.191
58,0.941341,68.3177
59,0.939896,68.4426
60,0.939537,68.3586
61,0.938788,68.5534
62,0.937962,69.0905
63,0.937593,69.1201
64,0.937361,69.4424
65,0.937255,69.4484
66,0.936128,70.5223
67,0.935647,70.5836
68,0.935342,70.798
69,0.935309,70.8508
70,0.935242,70.8983
71,0.935203,70.9666
72,0.932214,75.0083
73,0.93134,75.1406
74,0.930298,75.167
75,0.93019,75.1537
76,0.930022,75.2846
77,0.929936,75.3059
78,0.929212,76.4252
79,0.928958,76.453
80,0.928706,76.6026
81,0.928658,76.7466
82,0.928599,76.8109
83,0.927258,79.3665
84,0.9262,79.4061
85,0.924722,82.2969
86,0.923768,82.4226
87,0.923662,82.4544
88,0.923476,82.7914
89,0.923373,82.7694
90,0.919177,89.3553
91,0.91784,89.4976
92,0.916481,89.9901
93,0.916076,89.9218
94,0.915732,90.1439
95,0.915589,90.1881
96,0.915027,91.4429
97,0.914877,91.4724
98,0.914717,91.6527
99,0.914669,91.6576
100,0.909729,99.3786
101,0.906738,99.9508
102,0.906537,100.018
103,0.905964,100.419
104,0.905765,100.409
105,0.905693,100.499
106,0.905568,100.622
107,0.905512,100.704
108,0.9039,103.039
109,0.903139,103.029
110,0.903082,103.108
111,0.902777,103.276
112,0.90272,103.347
113,0.902667,103.398
114,0.902517,103.656
115,0.902436,103.666
116,0.893654,119.255
117,0.890951,119.383
118,0.889799,119.502
119,0.888657,119.666
