Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.3708,0,1
1,1.12315,0.0590226,0.975288
2,0.571136,0.286042,0.938126
3,0.444286,0.370765,0.917836
4,0.348551,0.397157,0.8886
5,0.258853,0.445022,0.848126
6,0.190358,0.495293,0.820611
7,0.13575,0.548171,0.786639
8,0.0904837,0.601687,0.757513
9,0.0764492,0.619788,0.747949
10,0.0617146,0.644853,0.736875
11,0.0557892,0.655232,0.731727
12,0.0483729,0.671711,0.72336
13,0.0443004,0.679454,0.71829
14,0.0388673,0.691259,0.7099
15,0.0368579,0.695278,0.706575
16,0.033384,0.702549,0.700595
17,0.0315815,0.706409,0.69729
18,0.0301116,0.709875,0.694457
19,0.0274607,0.717365,0.688892
20,0.0264712,0.71959,0.686965
21,0.0244103,0.726266,0.68225
22,0.0237818,0.727773,0.680946
23,0.022171,0.733699,0.676967
24,0.0217756,0.734713,0.676102
25,0.0204468,0.740154,0.672574
26,0.0200921,0.740972,0.671819
27,0.0200014,0.741254,0.671576
28,0.0199758,0.741394,0.671509
