Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.37085,0,1
1,1.37085,1.67109e-11,1
2,1.37085,1.7112e-08,1
3,1.37085,9.86761e-07,1
4,1.37083,1.75224e-05,1
5,1.37067,0.000163162,0.999996
6,1.36974,0.00100892,0.999978
7,1.36575,0.00468054,0.999908
8,1.35228,0.017302,0.999767
9,1.31786,0.0514116,1.00017
10,1.25797,0.11836,1.0043
11,1.19237,0.206442,1.0163
12,1.14097,0.29187,1.03479
13,1.10479,0.367872,1.05661
14,1.07934,0.437883,1.08095
15,1.0611,0.506652,1.10858
16,1.04774,0.578732,1.14124
17,1.03756,0.65875,1.18157
18,1.02896,0.751541,1.23316
19,1.02002,0.861454,1.3001
20,1.00826,0.990271,1.3854
21,0.99132,1.13428,1.4879
22,0.968358,1.28361,1.6006
23,0.940871,1.42665,1.7134
24,0.911651,1.55564,1.81842
25,0.883082,1.66829,1.91229
26,0.856438,1.76588,1.995
27,0.832153,1.85098,2.06807
28,0.810265,1.9262,2.13334
29,0.790663,1.9937,2.19242
30,0.77318,2.05513,2.24658
31,0.757628,2.1117,2.29679
32,0.743813,2.16433,2.34375
33,0.731549,2.21367,2.38802
34,0.720661,2.26022,2.42997
35,0.710988,2.30435,2.46991
36,0.702388,2.34635,2.50806
37,0.694733,2.38643,2.5446
38,0.687911,2.42477,2.57966
39,0.681822,2.46151,2.61335
40,0.676375,2.49677,2.64577
41,0.671494,2.53064,2.67699
42,0.667109,2.56321,2.70708
43,0.663158,2.59456,2.7361
44,0.659588,2.62476,2.76412
45,0.656352,2.65389,2.79118
46,0.65341,2.68199,2.81733
47,0.650724,2.70914,2.84263
48,0.648264,2.73538,2.86713
49,0.646002,2.76078,2.89087
50,0.643915,2.78538,2.91389
51,0.641981,2.80924,2.93623
52,0.640182,2.8324,2.95795
53,0.638502,2.8549,2.97907
54,0.636927,2.8768,2.99964
55,0.635446,2.89813,3.0197
56,0.634047,2.91893,3.03928
57,0.632721,2.93925,3.05841
58,0.631459,2.95912,3.07713
59,0.630255,2.97857,3.09548
60,0.629103,2.99765,3.11348
61,0.627995,3.01638,3.13117
62,0.626929,3.0348,3.14858
63,0.625898,3.05295,3.16573
64,0.6249,3.07084,3.18265
65,0.62393,3.0885,3.19937
66,0.622986,3.10598,3.21591
67,0.622065,3.12329,3.23231
68,0.621165,3.14046,3.24858
69,0.620283,3.15751,3.26475
70,0.619417,3.17447,3.28084
71,0.618566,3.19136,3.29688
72,0.617729,3.20821,3.31288
73,0.616903,3.22503,3.32886
74,0.616087,3.24185,3.34485
75,0.615281,3.25869,3.36086
76,0.614483,3.27556,3.37691
77,0.613693,3.29248,3.39302
78,0.612909,3.30947,3.40921
79,0.612132,3.32655,3.42548
80,0.611359,3.34373,3.44186
81,0.610591,3.36102,3.45835
82,0.609827,3.37844,3.47498
83,0.609067,3.39599,3.49174
84,0.608309,3.41369,3.50865
85,0.607555,3.43155,3.52573
86,0.606802,3.44958,3.54297
87,0.606052,3.46778,3.56038
88,0.605304,3.48616,3.57798
89,0.604557,3.50472,3.59576
90,0.603812,3.52347,3.61373
91,0.603068,3.5424,3.63189
92,0.602325,3.56153,3.65024
93,0.601583,3.58084,3.66878
94,0.600842,3.60034,3.68751
95,0.600102,3.62003,3.70643
96,0.599362,3.63989,3.72554
97,0.598624,3.65994,3.74482
98,0.597887,3.68015,3.76428
99,0.597151,3.70053,3.78391
100,0.596417,3.72107,3.8037
101,0.595683,3.74175,3.82364
102,0.594952,3.76258,3.84372
103,0.594221,3.78353,3.86394
104,0.593493,3.8046,3.88428
105,0.592767,3.82578,3.90474
106,0.592043,3.84705,3.9253
107,0.591321,3.86841,3.94595
108,0.590603,3.88984,3.96669
109,0.589887,3.91133,3.98748
110,0.589174,3.93287,4.00834
111,0.588465,3.95445,4.02923
112,0.587759,3.97604,4.05016
113,0.587058,3.99765,4.07111
114,0.58636,4.01926,4.09206
115,0.585667,4.04085,4.11301
116,0.584979,4.06241,4.13394
117,0.584295,4.08394,4.15484
118,0.583617,4.10541,4.1757
119,0.582943,4.12683,4.19651
120,0.582275,4.14818,4.21726
121,0.581613,4.16944,4.23794
122,0.580957,4.19062,4.25853
123,0.580307,4.21169,4.27904
124,0.579662,4.23266,4.29945
125,0.579024,4.25351,4.31975
126,0.578393,4.27423,4.33993
127,0.577768,4.29482,4.36
128,0.57715,4.31528,4.37993
129,0.576539,4.33559,4.39973
130,0.575934,4.35574,4.41938
131,0.575336,4.37574,4.43889
132,0.574746,4.39558,4.45824
133,0.574162,4.41525,4.47744
134,0.573585,4.43475,4.49647
135,0.573016,4.45407,4.51534
136,0.572454,4.47322,4.53404
137,0.571898,4.49218,4.55257
138,0.57135,4.51096,4.57092
139,0.57081,4.52956,4.58909
140,0.570276,4.54796,4.60708
141,0.569749,4.56618,4.62489
142,0.569229,4.5842,4.64252
143,0.568717,4.60203,4.65995
144,0.568211,4.61967,4.67721
145,0.567712,4.63711,4.69427
146,0.567221,4.65435,4.71115
147,0.566736,4.6714,4.72784
148,0.566257,4.68825,4.74434
149,0.565786,4.70491,4.76065
150,0.565321,4.72137,4.77677
151,0.564863,4.73763,4.7927
152,0.564411,4.7537,4.80844
153,0.563965,4.76958,4.824
154,0.563526,4.78526,4.83937
155,0.563093,4.80075,4.85455
156,0.562666,4.81604,4.86954
157,0.562246,4.83115,4.88435
158,0.561831,4.84606,4.89898
159,0.561422,4.86079,4.91342
160,0.561019,4.87533,4.92768
161,0.560621,4.88968,4.94176
162,0.56023,4.90385,4.95566
163,0.559843,4.91783,4.96938
