Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.37081,0,1
1,1.37081,2.69149e-11,1
2,1.37081,2.75609e-08,1
3,1.3708,1.5893e-06,1
4,1.37075,2.82211e-05,0.999999
5,1.37027,0.000262678,0.999992
6,1.36749,0.00161922,0.99995
7,1.35586,0.007391,0.999794
8,1.32095,0.0256771,0.999513
9,1.25558,0.0644759,0.999993
10,1.18713,0.112677,1.00256
11,1.1369,0.153559,1.00631
12,1.10291,0.186111,1.01028
13,1.08157,0.21208,1.01409
14,1.06904,0.232069,1.01744
15,1.06156,0.246853,1.02014
16,1.05652,0.257581,1.0222
17,1.05243,0.265407,1.02375
18,1.04851,0.271271,1.02492
19,1.04435,0.275869,1.02583
20,1.03971,0.279701,1.02656
21,1.03447,0.283142,1.02719
22,1.02858,0.286493,1.0278
23,1.02208,0.290005,1.02845
24,1.01503,0.293889,1.02919
25,1.00743,0.298303,1.03007
26,0.999152,0.303357,1.03112
27,0.989821,0.30911,1.03236
28,0.978801,0.315606,1.03378
29,0.965278,0.322905,1.0354
30,0.948574,0.331118,1.03724
31,0.928622,0.340385,1.03935
32,0.906205,0.350787,1.04178
33,0.882585,0.362224,1.04457
34,0.858793,0.374417,1.04766
35,0.83525,0.387048,1.05099
36,0.811891,0.399883,1.05449
37,0.788505,0.412816,1.05812
38,0.765042,0.425834,1.06188
39,0.741791,0.43894,1.06577
40,0.71939,0.452085,1.06979
41,0.698658,0.465113,1.07392
42,0.680334,0.477756,1.07807
43,0.664849,0.489686,1.0821
44,0.652253,0.500595,1.0859
45,0.642282,0.510267,1.08933
46,0.634499,0.518604,1.09234
47,0.628423,0.525628,1.09488
48,0.62362,0.531444,1.09699
49,0.619737,0.536205,1.09871
50,0.616506,0.540085,1.10008
51,0.613736,0.543253,1.10118
52,0.61129,0.545863,1.10206
53,0.609077,0.548048,1.10277
54,0.607031,0.549917,1.10336
55,0.605107,0.55156,1.10385
56,0.603275,0.553048,1.10429
57,0.601512,0.554438,1.10469
58,0.599804,0.555774,1.10507
59,0.598138,0.55709,1.10545
60,0.596507,0.558415,1.10584
61,0.594904,0.559768,1.10624
62,0.593325,0.561168,1.10668
63,0.591767,0.562628,1.10714
64,0.590226,0.564159,1.10764
65,0.588701,0.565771,1.10818
66,0.58719,0.567469,1.10876
67,0.585692,0.569262,1.10939
68,0.584206,0.571154,1.11007
69,0.582732,0.57315,1.11081
70,0.581268,0.575253,1.1116
71,0.579816,0.577466,1.11245
72,0.578374,0.579793,1.11335
73,0.576942,0.582235,1.11432
74,0.575521,0.584794,1.11535
75,0.57411,0.587471,1.11645
76,0.57271,0.590266,1.11761
77,0.57132,0.593179,1.11883
78,0.569942,0.596211,1.12012
79,0.568575,0.599358,1.12148
80,0.56722,0.602621,1.1229
81,0.565876,0.605996,1.12439
82,0.564545,0.609481,1.12595
83,0.563227,0.613073,1.12757
84,0.561922,0.616767,1.12925
85,0.560631,0.620559,1.131
86,0.559354,0.624445,1.13281
87,0.558091,0.628419,1.13467
88,0.556843,0.632476,1.1366
89,0.55561,0.63661,1.13857
90,0.554393,0.640814,1.1406
91,0.553192,0.645082,1.14268
92,0.552007,0.649409,1.1448
93,0.550838,0.653786,1.14697
94,0.549686,0.658209,1.14917
95,0.548551,0.66267,1.15141
96,0.547433,0.667163,1.15369
