Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.37074,0,1
1,1.49962,0.502164,0.90207
2,0.903185,0.998618,1.03949
3,0.816426,0.974198,1.03225
4,0.755619,0.95423,1.02599
5,0.713092,0.938907,1.02006
6,0.678766,0.927098,1.01437
7,0.647896,0.917312,1.00918
8,0.619455,0.90873,1.00456
9,0.593358,0.901065,1.00047
10,0.569694,0.894225,0.996803
11,0.548532,0.88816,0.99346
12,0.52985,0.882826,0.990347
13,0.513506,0.878166,0.987385
14,0.499254,0.874118,0.98451
15,0.486785,0.870615,0.981679
16,0.475776,0.867587,0.978866
17,0.465924,0.864971,0.97606
18,0.456973,0.862706,0.973259
19,0.448721,0.860738,0.970471
20,0.441015,0.85902,0.967703
21,0.433744,0.857513,0.964966
22,0.426826,0.856183,0.962267
23,0.420203,0.855001,0.959613
24,0.413835,0.853945,0.957007
25,0.407689,0.852996,0.954453
26,0.401742,0.852136,0.951953
27,0.395976,0.851355,0.949506
28,0.390377,0.850641,0.947111
29,0.384931,0.849985,0.944768
30,0.379629,0.84938,0.942474
31,0.374463,0.84882,0.940228
32,0.369424,0.8483,0.938029
33,0.364506,0.847816,0.935872
34,0.359703,0.847364,0.933758
35,0.35501,0.84694,0.931683
36,0.350421,0.846543,0.929646
37,0.345932,0.84617,0.927645
38,0.341539,0.845818,0.925678
39,0.337238,0.845486,0.923743
40,0.333026,0.845172,0.921839
41,0.328899,0.844875,0.919964
42,0.324853,0.844593,0.918117
43,0.320887,0.844325,0.916297
44,0.316997,0.844069,0.914503
45,0.313181,0.843826,0.912732
46,0.309436,0.843593,0.910985
47,0.30576,0.84337,0.90926
48,0.302151,0.843157,0.907556
49,0.298606,0.842952,0.905873
50,0.295125,0.842754,0.904209
51,0.291704,0.842564,0.902564
52,0.288343,0.84238,0.900937
53,0.285039,0.842202,0.899328
54,0.281791,0.842029,0.897735
55,0.278598,0.841861,0.896158
56,0.275457,0.841698,0.894597
57,0.272368,0.841539,0.893051
58,0.269329,0.841384,0.89152
59,0.26634,0.841232,0.890003
60,0.263397,0.841083,0.8885
61,0.260502,0.840937,0.88701
62,0.257652,0.840794,0.885533
63,0.254846,0.840652,0.884068
64,0.252084,0.840513,0.882616
65,0.249364,0.840375,0.881176
66,0.246685,0.840239,0.879748
67,0.244047,0.840105,0.878332
68,0.241449,0.839971,0.876926
69,0.238889,0.839839,0.875532
70,0.236368,0.839708,0.874149
71,0.233884,0.839577,0.872777
72,0.231436,0.839448,0.871415
73,0.229024,0.839319,0.870063
74,0.226647,0.83919,0.868722
75,0.224305,0.839062,0.867391
76,0.221997,0.838934,0.86607
77,0.219722,0.838807,0.864759
78,0.21748,0.838679,0.863459
79,0.21527,0.838552,0.862167
80,0.213091,0.838426,0.860886
81,0.210944,0.838299,0.859614
82,0.208827,0.838172,0.858352
83,0.206741,0.838046,0.8571
84,0.204684,0.837919,0.855857
85,0.202657,0.837793,0.854623
86,0.200659,0.837666,0.853399
87,0.198689,0.83754,0.852184
88,0.196748,0.837413,0.850979
89,0.194834,0.837287,0.849784
90,0.192948,0.83716,0.848597
91,0.191089,0.837033,0.84742
92,0.189257,0.836907,0.846252
93,0.187452,0.83678,0.845094
94,0.185672,0.836653,0.843945
95,0.183919,0.836526,0.842805
96,0.182192,0.836399,0.841675
97,0.18049,0.836272,0.840553
98,0.178813,0.836145,0.839442
99,0.177161,0.836017,0.838339
100,0.175533,0.83589,0.837245
101,0.173931,0.835763,0.836161
102,0.172352,0.835635,0.835086
103,0.170797,0.835507,0.83402
104,0.169266,0.835379,0.832964
105,0.167759,0.835251,0.831916
106,0.166274,0.835123,0.830878
107,0.164813,0.834995,0.829849
108,0.163374,0.834866,0.828828
109,0.161958,0.834737,0.827817
110,0.160565,0.834608,0.826815
111,0.159193,0.834479,0.825822
112,0.157843,0.834349,0.824837
113,0.156515,0.834219,0.823862
114,0.155208,0.834089,0.822895
115,0.153922,0.833958,0.821937
116,0.152657,0.833827,0.820988
117,0.151412,0.833696,0.820048
118,0.150188,0.833564,0.819116
119,0.148984,0.833432,0.818193
120,0.1478,0.833299,0.817278
121,0.146635,0.833166,0.816372
122,0.145489,0.833032,0.815474
123,0.144363,0.832898,0.814585
124,0.143255,0.832763,0.813703
125,0.142165,0.832628,0.81283
126,0.141094,0.832492,0.811965
127,0.14004,0.832356,0.811109
128,0.139004,0.832218,0.81026
129,0.137986,0.832081,0.809419
130,0.136984,0.831942,0.808585
131,0.135999,0.831803,0.80776
132,0.13503,0.831664,0.806942
133,0.134078,0.831523,0.806132
134,0.133141,0.831382,0.805329
135,0.13222,0.83124,0.804534
136,0.131314,0.831098,0.803746
137,0.130423,0.830955,0.802966
138,0.129546,0.830811,0.802192
139,0.128684,0.830666,0.801426
140,0.127836,0.830521,0.800667
141,0.127002,0.830375,0.799914
142,0.126181,0.830229,0.799169
143,0.125374,0.830081,0.79843
144,0.12458,0.829933,0.797698
145,0.123798,0.829785,0.796972
146,0.123029,0.829635,0.796253
147,0.122271,0.829485,0.79554
148,0.121526,0.829335,0.794834
149,0.120792,0.829184,0.794134
150,0.12007,0.829032,0.793441
151,0.119359,0.82888,0.792753
152,0.118659,0.828727,0.792071
