Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.174686,0.666667,0.333333
1,0.158688,0.668144,0.331955
2,0.144125,0.669662,0.330714
3,0.124838,0.671987,0.329089
4,0.103076,0.675254,0.327219
5,0.08095,0.679971,0.325055
6,0.0593679,0.690364,0.320872
7,0.0416775,0.71357,0.306653
8,0.0274526,0.724691,0.299204
9,0.0175813,0.74785,0.292015
10,0.0105991,0.760192,0.286741
11,0.00622204,0.774491,0.281329
12,0.00372694,0.786136,0.275871
13,0.00284245,0.789252,0.272711
14,0.00243092,0.798975,0.268314
15,0.00202159,0.799047,0.267701
16,0.00199927,0.798968,0.267653
