Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.174685,0.666667,0.333333
1,0.157775,0.670598,0.329643
2,0.142483,0.674532,0.32638
3,0.122359,0.680358,0.322203
4,0.0999005,0.688086,0.317615
5,0.0774942,0.698116,0.312801
6,0.0570198,0.713405,0.306791
7,0.0401071,0.731268,0.297908
8,0.0268172,0.760002,0.28377
9,0.0164125,0.773969,0.271938
10,0.00976146,0.798893,0.263147
11,0.00552859,0.813124,0.256853
12,0.00297241,0.824791,0.250233
13,0.00205302,0.833851,0.244785
14,0.00199893,0.833766,0.244683
