Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.174688,0,1
1,0.15753,0.025002,0.994957
2,0.142226,0.045215,0.991622
3,0.121157,0.0690086,0.988611
4,0.0959035,0.0912785,0.98694
5,0.0757698,0.141006,0.974527
6,0.062493,0.213116,0.952466
7,0.0469519,0.272477,0.924419
8,0.0318489,0.339699,0.901562
9,0.0229145,0.428845,0.880954
10,0.0146902,0.456305,0.867576
11,0.00984421,0.517095,0.852042
12,0.00601624,0.530995,0.839763
13,0.00427809,0.553104,0.831564
14,0.00322003,0.566996,0.820305
15,0.00276691,0.576728,0.810209
16,0.00229531,0.584245,0.803854
17,0.00224507,0.589795,0.798367
18,0.00200793,0.588899,0.79817
19,0.00199937,0.588896,0.798155
