Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,3
0.771637,3
0.733056,6
0.696403,9
0.797602,9
0.797602,12
0.848201,8
0.805791,11
0.858757,14
0.889024,14
0.889024,23
0.932449,12
0.885827,35
0.960855,14
0.912812,34
0.964099,3
0.915894,37
0.870099,40
0.879842,72
0.933246,112
0.957086,93
0.909232,137
0.938384,71
0.891465,174
0.955713,128
0.907927,176
0.933038,242
0.9513,157
0.903735,399
0.962121,152
0.914015,526
0.975153,167
0.926395,627
0.980395,162
0.931376,707
0.984276,202
0.935062,837
0.994629,72
0.999,17
