Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,2
0.771637,2
0.733056,3
0.696403,3
0.661583,6
0.628504,9
0.752336,15
0.851401,14
0.808831,12
0.76839,26
0.893103,28
0.900738,14
0.855702,42
0.951901,1
0.904305,40
0.85909,28
0.816136,6
0.775329,34
0.960352,1
0.912335,22
0.866718,21
0.823382,43
0.913745,1
0.868057,44
0.824655,45
0.828551,89
0.913312,27
0.867647,87
0.958925,1
0.910979,68
0.86543,69
0.86738,127
0.927947,7
0.881549,134
0.993812,1
0.944122,58
0.896916,59
0.898663,117
0.948898,1
0.901453,118
0.856381,119
0.857588,237
0.928493,1
0.882069,238
0.837965,239
0.838643,477
0.919152,3
0.873195,480
0.906979,404
0.977928,36
0.999,15
