Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,2
0.771637,4
0.733056,6
0.696403,10
0.817842,6
0.77695,13
0.897054,3
0.852201,16
0.809591,19
0.839656,22
0.861521,13
0.818445,33
0.928478,11
0.882054,19
0.931716,11
0.88513,30
0.957881,22
0.909987,11
0.864488,33
0.954829,12
0.907088,43
0.974071,13
0.925367,44
0.977949,11
0.929052,32
0.975612,9
0.926831,33
0.980045,7
0.931043,38
0.987297,8
0.937932,34
0.985396,1
0.936126,35
0.88932,36
0.892394,64
0.939472,40
0.892498,104
0.958653,9
0.91072,102
0.992122,1
0.942516,73
0.89539,74
0.896804,147
0.948051,29
0.900648,116
0.975162,3
0.926404,119
0.880084,122
0.883033,186
0.923279,186
0.923279,176
0.877115,362
0.940255,37
0.893242,355
0.988873,1
0.939429,4
0.892458,5
0.847835,9
0.805443,14
0.874928,23
0.923869,37
0.952675,60
0.970817,97
0.981948,3
0.932851,100
0.886208,103
0.889523,203
0.943945,6
0.896748,209
0.997036,1
0.947184,201
0.899825,75
0.854834,276
0.960553,1
0.912525,197
0.866899,198
0.867571,395
0.933618,2
0.886937,325
0.84259,219
0.800461,434
0.899311,2
0.854345,211
0.811628,213
0.813397,424
0.906258,1
0.860945,425
0.817898,1
0.777003,426
0.738153,2
0.701245,428
0.666183,430
0.667736,858
0.833481,1
0.791807,859
0.752216,1
0.714605,860
0.678875,1
0.644931,861
0.612685,1
0.582051,862
0.552948,1
0.525301,863
0.499036,1
0.474084,864
0.45038,345
0.427861,1209
0.836734,1
0.794898,1210
0.755153,1
0.717395,1211
0.681525,1
