Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62835,0,1
1,1.13216,0.0213752,0.99467
2,0.969291,0.0427897,0.990497
3,0.401201,0.10887,0.98703
4,0.232955,0.134886,0.988818
5,0.210133,0.136713,0.985713
6,0.184027,0.1451,0.982973
7,0.153462,0.146519,0.979978
8,0.126673,0.155216,0.978417
9,0.103164,0.168105,0.97778
10,0.0780838,0.189454,0.977704
11,0.0648544,0.203673,0.977406
12,0.0599134,0.206966,0.976778
13,0.0568511,0.210028,0.976243
14,0.0539972,0.21314,0.975753
15,0.051456,0.216138,0.975346
16,0.049067,0.219034,0.974995
17,0.0468481,0.222442,0.974717
18,0.0426325,0.230366,0.974251
19,0.0389706,0.236531,0.973913
20,0.0360188,0.242968,0.97364
21,0.0345342,0.246766,0.973506
22,0.0319351,0.25268,0.973361
23,0.0314302,0.25355,0.973338
24,0.0293476,0.259794,0.97325
25,0.0292117,0.260176,0.97324
26,0.0290726,0.260474,0.973226
27,0.0288534,0.261067,0.973204
28,0.0285462,0.261961,0.973177
29,0.0280791,0.263276,0.973135
30,0.027346,0.26554,0.973068
31,0.0266332,0.267884,0.972992
32,0.0247305,0.274547,0.972703
33,0.0238199,0.277895,0.972571
34,0.0231674,0.280471,0.972463
35,0.0214815,0.287438,0.972003
36,0.0204814,0.291821,0.971737
37,0.019864,0.294666,0.971491
38,0.0183617,0.301924,0.970782
39,0.0180585,0.303415,0.970612
40,0.0169237,0.309292,0.969785
41,0.0165424,0.311161,0.969482
42,0.015545,0.316446,0.968568
43,0.015238,0.318153,0.968258
44,0.0142296,0.32392,0.967098
45,0.0138899,0.326107,0.966638
46,0.0130543,0.331247,0.965392
47,0.0127316,0.333448,0.964825
48,0.0121999,0.337148,0.963751
49,0.0119648,0.338907,0.963223
50,0.0115596,0.341939,0.962218
51,0.0113495,0.34362,0.96165
52,0.0109485,0.346907,0.96047
53,0.0107062,0.349015,0.95968
54,0.0102727,0.352992,0.958096
55,0.0100155,0.355527,0.957033
56,0.00999937,0.355709,0.956953
