Tolerance,Required Steps
0.9,1
0.9,1
0.855,1
0.81225,1
0.771637,2
0.733056,3
0.696403,5
0.661583,8
0.628504,13
0.771387,18
0.83489,6
0.793146,24
0.948286,24
0.948286,26
0.952264,26
0.952264,27
0.954032,25
0.906331,26
0.909933,12
0.864437,38
0.957191,6
0.909331,44
0.987636,3
0.938254,2
0.891342,5
0.846774,7
0.804436,12
0.885921,19
0.92795,31
0.95584,50
0.972621,40
0.92399,65
0.953225,105
0.971044,81
0.922492,127
0.950566,197
0.968131,51
0.919725,237
0.982726,49
0.933589,137
0.976247,55
0.927435,192
0.979213,69
0.930252,191
0.974803,95
0.926063,286
0.975441,109
0.926669,395
0.979764,150
0.930776,545
0.980948,281
0.9319,826
0.976833,545
0.934034,1371
0.973777,1005
0.99845,40
