Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62831,0,1
1,1.1209,0.00496815,0.999808
2,0.954496,0.0136307,0.999778
3,0.739079,0.0247172,1.00043
4,0.580402,0.0327576,1.00114
5,0.394319,0.0459314,1.00257
6,0.27235,0.048478,1.00276
7,0.246309,0.0503395,1.00281
8,0.219464,0.0525027,1.00284
9,0.182928,0.0563077,1.00305
10,0.146912,0.0632182,1.00382
11,0.121719,0.0706783,1.00471
12,0.105757,0.0764455,1.00491
13,0.0971849,0.0788663,1.00456
14,0.0914381,0.0812911,1.00435
15,0.0860768,0.0839898,1.00406
16,0.0823257,0.0861985,1.00384
17,0.0766032,0.0902429,1.00351
18,0.0732884,0.093062,1.00338
19,0.0673518,0.09928,1.00331
20,0.0647435,0.102439,1.00336
21,0.0592487,0.109951,1.00365
22,0.0572445,0.112944,1.00381
23,0.0526512,0.120385,1.00431
24,0.0510367,0.123171,1.00453
25,0.0470936,0.130493,1.00515
26,0.0457918,0.133063,1.00538
27,0.0423824,0.140214,1.00608
28,0.0413257,0.142561,1.00631
29,0.0383561,0.149503,1.00701
30,0.0375026,0.151602,1.00722
31,0.034901,0.1583,1.00789
32,0.0342108,0.160145,1.00807
33,0.0319198,0.166525,1.00866
34,0.0313649,0.168119,1.00879
35,0.0293319,0.174126,1.00926
36,0.0288831,0.17548,1.00936
37,0.0270657,0.181066,1.00969
38,0.0266989,0.18221,1.00975
39,0.0250636,0.187388,1.00995
40,0.0247618,0.188357,1.00998
41,0.0232798,0.193217,1.01008
42,0.0230309,0.194049,1.01009
