Tolerance,Required Steps
0.9,1
0.9,2
0.855,3
0.81225,2
0.771637,2
0.733056,1
0.696403,3
0.661583,4
0.628504,7
0.597078,11
0.743595,18
0.843308,29
0.902743,47
0.93999,47
0.93999,64
0.95593,60
0.908134,124
0.955549,94
0.907771,218
0.960232,118
0.91222,297
0.965124,126
0.916868,332
0.96845,133
0.920027,372
0.971408,140
0.922837,420
0.974279,149
0.925565,481
0.976942,159
0.928095,560
0.979584,171
0.930605,659
0.981993,184
0.932893,780
0.98417,198
0.934961,923
0.986048,213
0.936746,1088
0.987617,228
0.938236,1282
0.989015,243
