Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62833,0,1
1,1.14891,0.0589736,0.972541
2,0.970512,0.122666,0.949783
3,0.53487,0.248075,0.938875
4,0.377357,0.320619,0.933425
5,0.274844,0.345305,0.897843
6,0.200517,0.395271,0.876688
7,0.137532,0.42083,0.858533
8,0.0903272,0.473948,0.831811
9,0.063914,0.498905,0.814222
10,0.0504236,0.510847,0.807278
11,0.0379912,0.537358,0.797604
12,0.029273,0.551001,0.791003
13,0.0255968,0.553763,0.789115
14,0.0205798,0.569178,0.783631
15,0.0181935,0.576705,0.779811
16,0.0161932,0.584738,0.775795
17,0.0149517,0.589577,0.772935
18,0.0139159,0.594133,0.769958
19,0.0123364,0.601505,0.764529
20,0.0114513,0.606225,0.760646
21,0.0101474,0.613942,0.753832
22,0.00998484,0.615062,0.752597
