Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62832,0,1
1,1.14583,0.09078,0.940686
2,0.827814,0.228813,0.869922
3,0.572754,0.364942,0.84411
4,0.375021,0.519031,0.763707
5,0.21822,0.568073,0.70159
6,0.172967,0.582879,0.677657
7,0.121776,0.65569,0.626891
8,0.100999,0.668106,0.607171
9,0.06479,0.70865,0.570956
10,0.0438346,0.735522,0.542318
11,0.0308986,0.753543,0.518219
12,0.0222835,0.763009,0.501295
13,0.017096,0.771092,0.490625
14,0.0130853,0.777837,0.480026
15,0.0112341,0.782863,0.473715
16,0.00998147,0.784418,0.469477
