Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62829,0,1
1,1.11219,0.104589,0.937518
2,0.911793,0.224804,0.892611
3,0.74641,0.254386,0.888916
4,0.559351,0.371061,0.858982
5,0.416028,0.434614,0.848282
6,0.320167,0.491136,0.81503
7,0.251931,0.543312,0.783537
8,0.184664,0.578099,0.740544
9,0.127529,0.625311,0.705364
10,0.0814,0.672454,0.67751
11,0.0619328,0.69777,0.661003
12,0.0507346,0.713548,0.647447
13,0.0440434,0.723727,0.637099
14,0.0392268,0.731555,0.628318
15,0.0353368,0.737547,0.620325
16,0.0322303,0.74343,0.61316
17,0.0295356,0.7489,0.60622
18,0.0274407,0.753506,0.600203
19,0.0255392,0.758446,0.594119
20,0.0239934,0.762997,0.588677
21,0.0225742,0.767297,0.583259
22,0.0214083,0.771299,0.578486
23,0.0195475,0.778257,0.570217
24,0.0186287,0.781635,0.565924
25,0.0169296,0.789125,0.557352
26,0.0162393,0.79212,0.553738
27,0.014858,0.799203,0.545978
28,0.0143189,0.801906,0.542849
29,0.013159,0.808749,0.535646
30,0.0127507,0.811077,0.533039
31,0.0117874,0.8176,0.526407
32,0.0114602,0.819687,0.524125
33,0.0106277,0.825952,0.517815
34,0.0103719,0.827818,0.51582
35,0.0100228,0.830642,0.512944
36,0.00999982,0.830809,0.512755
