Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62832,0,1
1,1.11385,0.00363168,0.999925
2,0.943714,0.01033,0.999817
3,0.735747,0.0185164,0.999747
4,0.512225,0.0270446,0.99967
5,0.38707,0.0338035,0.999543
6,0.280881,0.038624,0.999181
7,0.220507,0.0459876,0.998734
8,0.159237,0.0540918,0.998335
9,0.127318,0.0596683,0.998067
10,0.111226,0.063692,0.997722
11,0.101589,0.0653334,0.997284
12,0.0948134,0.0668473,0.996829
13,0.0896685,0.0685539,0.996316
14,0.0860013,0.0700763,0.995813
15,0.0795534,0.0732344,0.994742
16,0.076543,0.0750588,0.994178
17,0.0715369,0.0787164,0.993133
18,0.0693792,0.0805144,0.992656
19,0.0640536,0.0855677,0.991432
20,0.0623227,0.0873806,0.991028
21,0.0576943,0.092713,0.989924
22,0.0562918,0.0944544,0.989584
23,0.0522623,0.0998662,0.988595
24,0.0511589,0.101444,0.98832
25,0.0476547,0.106802,0.987425
26,0.0467507,0.108257,0.98719
27,0.043644,0.113559,0.986356
28,0.0428239,0.115022,0.98613
29,0.0399944,0.120361,0.98532
30,0.0392106,0.121871,0.985092
31,0.0369309,0.126515,0.984398
32,0.0363267,0.127781,0.984208
33,0.0341139,0.132593,0.98349
34,0.0335256,0.133906,0.983292
35,0.0313554,0.138911,0.982538
36,0.0307854,0.140257,0.982333
37,0.0287644,0.145178,0.98158
38,0.0282312,0.146504,0.981375
39,0.0263691,0.151287,0.980629
40,0.0258216,0.152719,0.980403
41,0.0240632,0.157499,0.979643
42,0.023535,0.158979,0.979404
43,0.0219077,0.163726,0.97863
44,0.0214551,0.165095,0.978403
45,0.0202839,0.168786,0.977783
46,0.0198535,0.170193,0.977542
47,0.0188688,0.173554,0.976955
48,0.0183967,0.175236,0.976653
49,0.0170723,0.180285,0.975708
50,0.0166025,0.182198,0.975328
51,0.0157481,0.185913,0.97455
52,0.0154237,0.187396,0.974218
53,0.0143832,0.19252,0.972961
54,0.0141066,0.193948,0.972568
55,0.0131685,0.199132,0.970963
56,0.0129102,0.200599,0.970442
57,0.0122139,0.204801,0.968797
58,0.0119139,0.206679,0.967979
59,0.0111789,0.211748,0.965578
60,0.0108308,0.214384,0.964233
