Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62826,0,1
1,1.47503,0.00756011,0.998188
2,1.33684,0.0162582,0.9962
3,1.15923,0.0331255,0.992611
4,0.931908,0.0813754,0.983691
5,0.623458,0.173942,0.974956
6,0.391399,0.230859,0.969497
7,0.261621,0.265983,0.966806
8,0.192403,0.299444,0.9583
9,0.124545,0.337964,0.93766
10,0.0743356,0.392318,0.903687
11,0.0440717,0.439812,0.877556
12,0.0246668,0.482105,0.856876
13,0.0171371,0.505125,0.838447
14,0.013082,0.529614,0.823773
15,0.0103997,0.544278,0.808611
16,0.0100005,0.544669,0.807802
17,0.00999066,0.544719,0.807788
