Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62832,0,1
1,1.47565,0.0195567,0.987776
2,1.33754,0.0412764,0.974967
3,1.15968,0.0812314,0.953333
4,0.955526,0.176141,0.912872
5,0.728904,0.269089,0.905405
6,0.518083,0.384143,0.881841
7,0.355425,0.505082,0.859635
8,0.230669,0.594221,0.790352
9,0.151113,0.627074,0.736602
10,0.0900076,0.68314,0.705916
11,0.0534554,0.73968,0.669716
12,0.030473,0.769348,0.623501
13,0.0224766,0.779451,0.595951
14,0.0173157,0.806103,0.57002
15,0.0135805,0.818616,0.549001
16,0.0110886,0.834471,0.533135
17,0.0100402,0.837918,0.52765
18,0.0100004,0.837853,0.527595
19,0.00999064,0.83785,0.52758
