Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.6283,0,1
1,1.11697,0.0982015,0.944211
2,0.87712,0.214722,0.893491
3,0.507827,0.406988,0.857434
4,0.340852,0.534303,0.821801
5,0.25816,0.504747,0.800546
6,0.188777,0.549289,0.780741
7,0.14563,0.592759,0.764011
8,0.10873,0.615425,0.743633
9,0.0807112,0.640417,0.727155
10,0.0557803,0.66678,0.713046
11,0.0423601,0.682453,0.704743
12,0.0309632,0.697562,0.696149
13,0.0259629,0.704733,0.692084
14,0.0217579,0.710376,0.688318
15,0.019257,0.713442,0.685993
16,0.0163222,0.718206,0.683029
17,0.0148277,0.7204,0.681407
18,0.0129046,0.724143,0.67893
19,0.0110709,0.728207,0.675924
20,0.0102135,0.730335,0.674224
21,0.0100136,0.730798,0.673801
22,0.00999917,0.730723,0.673788
