Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.6283,0,1
1,1.47671,0.0232594,0.982692
2,1.33957,0.0498442,0.963594
3,1.16267,0.0995492,0.929818
4,0.93667,0.226732,0.856363
5,0.687527,0.377393,0.810737
6,0.482858,0.515277,0.774883
7,0.322666,0.673183,0.722409
8,0.207331,0.700029,0.644872
9,0.133478,0.784695,0.564412
10,0.0803399,0.84746,0.485562
11,0.0461855,0.89064,0.43095
12,0.025675,0.926798,0.376705
13,0.01382,0.946895,0.320507
14,0.0101166,0.945552,0.301906
15,0.0100049,0.945223,0.301716
16,0.00999525,0.945248,0.301711
