Tolerance,Required Steps
0.9,1
0.9,1
0.855,1
0.81225,1
0.771637,2
0.733056,3
0.696403,5
0.661583,8
0.628504,13
0.771387,13
0.771387,26
0.885693,20
0.841409,36
0.911894,23
0.866299,43
0.928486,25
0.882061,52
0.943299,28
0.896134,62
0.953093,31
0.905438,66
0.955585,33
0.907805,85
0.964207,37
0.915996,107
0.970952,35
0.922404,113
0.975966,34
0.927168,119
0.979191,38
0.930231,145
0.981716,35
0.93263,151
0.984384,33
0.935165,162
0.986793,35
0.937453,179
0.98777,37
0.938382,207
0.988986,39
0.9888,41
0.99874,5
0.999,4
