Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62827,0,1
1,1.47573,0.0199527,0.987268
2,1.33771,0.042062,0.973964
3,1.15993,0.0825227,0.95162
4,0.956543,0.17867,0.909979
5,0.733701,0.268605,0.902963
6,0.524771,0.387443,0.879224
7,0.362533,0.514088,0.8567
8,0.237352,0.597275,0.786632
9,0.15144,0.630116,0.734714
10,0.0913275,0.694109,0.700769
11,0.0542566,0.74966,0.662057
12,0.0305131,0.777315,0.619197
13,0.0223344,0.793306,0.590226
14,0.0171739,0.81426,0.569501
15,0.0138011,0.824149,0.553161
16,0.0111559,0.841289,0.537144
17,0.0100315,0.84298,0.534713
18,0.010001,0.842914,0.534679
19,0.00999125,0.842959,0.534667
