Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.6283,0,1
1,1.1061,0.00355133,1.00096
2,0.956787,0.00686018,1.00187
3,0.834017,0.0147959,1.00304
4,0.637577,0.0273012,1.00497
5,0.377573,0.0333353,1.00697
6,0.223134,0.0417595,1.00868
7,0.160525,0.0464355,1.0096
8,0.134257,0.0475526,1.00995
9,0.102574,0.0495807,1.01117
10,0.0717978,0.052686,1.01274
11,0.0622255,0.055072,1.01334
12,0.0529583,0.0578757,1.01389
13,0.0428509,0.0611129,1.01457
14,0.0387775,0.0629507,1.01495
15,0.0355302,0.0644578,1.01524
16,0.0312082,0.0663798,1.01568
