Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,2
0.771637,1
0.733056,2
0.696403,3
0.661583,5
0.628504,8
0.597078,13
0.752048,21
0.846506,12
0.804181,24
0.90209,29
0.918971,27
0.873023,41
0.916381,25
0.870562,66
0.95097,16
0.903422,80
0.980684,12
0.93165,66
0.987573,13
0.938194,79
0.989829,22
0.940338,81
0.983795,19
0.934606,100
0.987575,20
0.938196,120
0.989699,18
0.940214,138
0.992202,39
0.942592,177
0.987351,72
0.937983,228
0.980416,100
0.931395,326
0.978956,123
0.930008,389
0.977869,170
0.953073,268
0.999,1
