Tolerance,Required Steps
0.9,1
0.9,1
0.855,2
0.81225,2
0.771637,4
0.733056,6
0.696403,10
0.817842,10
0.817842,12
0.848201,14
0.869887,12
0.826393,26
0.919874,38
0.945177,35
0.897918,73
0.951056,76
0.952988,89
0.959855,90
0.960301,110
0.967519,106
0.919143,216
0.96032,209
0.912304,425
0.956874,371
0.909031,796
0.957601,525
0.909721,1321
0.964121,583
0.915915,1575
0.968875,629
0.920431,1802
0.972226,662
0.923615,1999
0.974704,680
0.925969,2164
0.976737,643
0.9279,2342
0.980205,652
0.931195,2445
0.981652,663
0.932569,2628
0.982988,678
0.933839,2860
0.984316,697
0.9351,3155
0.985662,718
0.936379,3502
0.986956,738
0.937608,3917
0.988245,671
0.938833,4516
0.990912,563
0.941366,5079
0.993501,551
0.943825,5605
0.994478,526
0.944754,6131
0.99526,702
0.945497,6833
0.994401,1072
0.944681,7905
0.992498,1989
0.942873,9894
0.988516,4313
0.93909,14207
