Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62834,0,1
1,1.10581,0.0277653,1.00889
2,0.954637,0.0537714,1.01744
3,0.78424,0.11957,1.02711
4,0.538543,0.162232,1.04326
5,0.241873,0.229571,1.06809
6,0.164089,0.240832,1.06829
7,0.11538,0.259903,1.07172
8,0.0717855,0.266336,1.07543
9,0.0456959,0.279132,1.08274
10,0.0334548,0.289686,1.08582
11,0.0250937,0.298561,1.08732
12,0.0212472,0.303207,1.08783
13,0.0171153,0.309578,1.08794
14,0.0145348,0.31429,1.08782
15,0.0132051,0.317254,1.08797
16,0.0119083,0.320714,1.08883
17,0.0112385,0.323044,1.08951
18,0.0102122,0.327194,1.09088
19,0.0100098,0.328117,1.09118
20,0.00998987,0.328189,1.09122
