Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.6283,0,1
1,1.11386,0.109166,0.910881
2,0.960814,0.2246,0.86363
3,0.677236,0.540688,1.09433
4,0.507405,0.726996,1.15534
5,0.358847,0.901558,1.15966
6,0.253786,1.01779,1.17049
7,0.174074,1.11552,1.19361
8,0.117439,1.16634,1.20668
9,0.088088,1.17361,1.2159
10,0.0699691,1.16735,1.21573
11,0.0590263,1.14747,1.20909
12,0.0517402,1.12916,1.20585
13,0.0430623,1.10439,1.19874
14,0.0399463,1.09478,1.19682
15,0.035372,1.08227,1.19434
16,0.0333705,1.0772,1.19395
17,0.0300142,1.06935,1.19371
18,0.0286463,1.06681,1.19427
19,0.0262535,1.06238,1.19482
20,0.0254054,1.06039,1.19526
21,0.0234862,1.05795,1.19712
22,0.0224283,1.05638,1.19888
23,0.0204771,1.05411,1.20325
24,0.0196251,1.05315,1.20548
25,0.0179532,1.05115,1.21102
