Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571762,0,1
1,0.399988,0.0257797,0.989543
2,0.344742,0.0469681,0.97997
3,0.238041,0.0837564,0.979478
4,0.17476,0.120729,0.998243
5,0.148701,0.137777,1.00209
6,0.128209,0.1538,1.01069
7,0.108736,0.175561,1.0232
8,0.0893117,0.197868,1.03708
9,0.0808067,0.210501,1.0417
10,0.0624937,0.24081,1.05756
11,0.053804,0.256116,1.06294
12,0.045621,0.276273,1.07353
13,0.0417128,0.286165,1.07779
14,0.0381563,0.296734,1.08195
15,0.0353648,0.306164,1.08616
16,0.0312134,0.320816,1.09193
17,0.0292324,0.328239,1.09515
18,0.0261026,0.342966,1.10217
19,0.0242763,0.351526,1.10518
20,0.02154,0.367866,1.11113
21,0.0202905,0.375118,1.11303
22,0.0182638,0.386868,1.11436
23,0.0175565,0.391377,1.11509
24,415793,0.401455,1.11684
