Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571768,0,1
1,0.491513,0.0183694,1.01014
2,0.449427,0.0301971,1.01462
3,0.401146,0.0517669,1.02111
4,0.356935,0.0792017,1.03081
5,0.340543,0.0974991,1.03999
6,0.311616,0.124593,1.04873
7,0.27675,0.16079,1.0583
8,0.251992,0.189286,1.06683
9,0.227033,0.219809,1.07707
10,0.20834,0.24419,1.08633
11,0.185648,0.280127,1.09313
12,0.173001,0.29693,1.09993
13,0.159884,0.317707,1.10557
14,0.145152,0.342406,1.11183
15,0.133454,0.366928,1.11746
16,0.120333,0.396398,1.12202
17,0.112603,0.415049,1.12603
18,0.103679,0.436046,1.12908
19,0.0999725,0.44641,1.13151
