Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571775,0,1
1,0.434898,0.00367329,0.999976
2,0.4153,0.00503907,0.999729
3,0.394486,0.00811527,0.99938
4,0.323779,0.0243337,0.998867
5,0.291176,0.0312881,0.999027
6,0.238128,0.0456851,0.999478
7,0.196268,0.0586029,1.00041
8,0.174761,0.0659386,1.00106
9,0.157526,0.0729015,1.00181
10,0.144798,0.0787368,1.00245
11,0.13502,0.0837826,1.00302
12,0.126773,0.0884914,1.00356
13,0.119795,0.0925776,1.004
14,0.114164,0.0959497,1.00434
15,0.108926,0.0992269,1.00466
16,0.104468,0.102171,1.00496
17,0.100265,0.105092,1.00526
18,0.096682,0.107766,1.00554
19,0.0932503,0.110502,1.00583
20,0.0903082,0.113032,1.0061
21,0.0854804,0.117561,1.00659
22,0.0821002,0.121049,1.00696
23,0.076677,0.127353,1.00758
24,0.0735337,0.131465,1.00795
25,0.0684132,0.138792,1.00845
26,0.065781,0.142768,1.00861
27,0.0607308,0.150399,1.00866
28,0.0586372,0.153589,1.00861
29,0.0539026,0.161078,1.00846
30,0.0522695,0.163827,1.00842
31,0.0482611,0.171172,1.00843
32,0.0469666,0.173744,1.00847
33,0.0435232,0.181196,1.00866
34,0.0424942,0.183588,1.00875
35,0.0395114,0.191011,1.00904
36,0.0386937,0.193148,1.00914
37,0.0360896,0.200404,1.00944
38,0.0354258,0.202262,1.00957
39,0.0333455,0.208599,1.0098
40,0.0329965,0.210791,1.00995
41,0.0313074,0.215126,1.01005
42,0.0301085,0.219186,1.01012
43,0.0278492,0.227192,1.01017
44,0.0265284,0.232113,1.01018
45,0.0240843,0.241856,1.00992
46,0.023241,0.245481,1.00974
47,0.0213816,0.254185,1.00913
48,0.0203358,0.2596,1.00855
49,0.0186613,0.269327,1.00703
50,0.0178959,0.274241,1.00601
51,0.0168565,0.281437,1.00406
52,0.0161731,0.286453,1.00238
53,0.0149818,0.295723,0.998519
