Tolerance,Required Steps
0.9,1
0.9,2
0.855,3
0.81225,5
0.771637,8
0.733056,13
0.835727,20
0.893222,22
0.902929,27
0.920905,32
0.933264,35
0.938984,39
0.945242,46
0.953575,47
0.954563,52
0.958932,53
0.959707,60
0.964407,60
0.964407,67
0.968126,66
0.91972,133
0.960162,119
0.912154,252
0.958517,198
0.910591,450
0.96066,309
0.912627,759
0.964429,375
0.916208,999
0.968546,397
0.920119,1133
0.97201,419
0.923409,1297
0.975257,443
0.926494,1498
0.978262,417
0.929349,1748
0.983146,97
0.933988,1845
0.996529,1
0.946703,1536
0.899368,1537
0.899433,3073
0.9497,1198
0.902215,3141
0.962704,1596
0.914569,2599
0.947538,2077
0.900161,4676
0.955653,4305
0.907871,8981
0.955838,7613
0.908046,16594
