Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571772,0,1
1,0.516991,0.00809531,0.998814
2,0.467348,0.0181734,0.9973
3,0.393036,0.0490174,0.986977
4,0.295692,0.133297,0.956867
5,0.214013,0.219086,0.930521
6,0.148151,0.311566,0.905229
7,0.104533,0.351466,0.892681
8,0.0672935,0.430486,0.873544
9,0.0430065,0.468768,0.85131
10,0.0268358,0.511264,0.823998
11,0.0205744,0.534484,0.809444
12,0.0166089,0.559646,0.79228
13,0.0137981,0.575154,0.772768
14,0.0119485,0.590646,0.757125
15,0.0104937,0.603257,0.74107
16,0.0100046,0.606648,0.73995
17,0.0099948,0.606635,0.739933
