Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.57177,0,1
1,0.517315,0.0172144,0.994565
2,0.467876,0.0375389,0.988183
3,0.396225,0.090296,0.971671
4,0.293614,0.19777,0.916452
5,0.22099,0.287734,0.877988
6,0.153525,0.396519,0.840134
7,0.109692,0.449673,0.819879
8,0.0724447,0.513926,0.801364
9,0.0456491,0.5829,0.776372
10,0.0313937,0.612021,0.745874
11,0.0215518,0.648991,0.718587
12,0.0132649,0.686928,0.686033
13,0.0101724,0.710289,0.656022
14,0.010002,0.710092,0.655924
15,0.00999254,0.710076,0.655907
