Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571765,0,1
1,0.520822,0.0176159,0.994346
2,0.474137,0.0379437,0.987941
3,0.406678,0.092185,0.969364
4,0.336838,0.148843,0.940885
5,0.264138,0.240353,0.909155
6,0.197774,0.342035,0.87508
7,0.138705,0.460731,0.834317
8,0.0937266,0.552015,0.782323
9,0.0600269,0.607102,0.74511
10,0.0371523,0.676499,0.724362
11,0.0237703,0.729435,0.704997
12,0.0179427,0.736259,0.681686
13,0.0144712,0.761557,0.663899
14,0.0120756,0.762663,0.65317
15,0.0104778,0.784463,0.642102
16,0.0100046,0.78297,0.64182
17,0.00999575,0.782962,0.641814
