Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.571776,0,1
1,0.436302,0.00248015,1.00067
2,0.374268,0.00725233,1.00224
3,0.303667,0.0119301,1.0037
4,0.236296,0.0184464,1.00537
5,0.163604,0.0279788,1.00832
6,0.142988,0.0306098,1.00868
7,0.127656,0.0328241,1.00898
8,0.106582,0.0364094,1.00968
9,0.0914633,0.0395642,1.01022
10,0.0809383,0.0421078,1.0107
11,0.072444,0.0444477,1.01117
12,0.0664288,0.0460729,1.01161
13,0.0618036,0.0473658,1.01169
14,0.0597268,0.0480105,1.01177
15,0.0552247,0.0495023,1.01194
16,0.0535086,0.0501423,1.012
17,0.0493647,0.0518747,1.01222
18,0.04802,0.0524995,1.01229
19,0.0445073,0.0542868,1.01254
20,0.0434378,0.0548739,1.01263
21,0.0403678,0.0566859,1.01297
22,0.0395231,0.0572151,1.01307
23,0.0368518,0.0589751,1.01343
24,0.03616,0.0594562,1.01353
25,0.0338041,0.0611686,1.01389
26,0.0332236,0.0616076,1.01398
27,0.0311204,0.0632733,1.01433
28,0.0306356,0.0636647,1.01442
29,0.0287416,0.0652985,1.01476
30,0.0283681,0.0656226,1.01483
31,0.0266884,0.0672067,1.01516
32,0.0264124,0.0674601,1.01521
33,0.0249127,0.0689867,1.01543
34,0.0247279,0.0691578,1.01548
35,0.0234392,0.0705639,1.01567
36,0.0233422,0.0706499,1.01569
37,0.0222527,0.0718972,1.01586
38,0.0212664,0.0730502,1.01601
39,0.0193011,0.0754594,1.01631
40,0.0183736,0.0767287,1.01651
41,0.0171693,0.0785372,1.01688
42,0.0165063,0.0796118,1.01712
43,0.015274,0.0818306,1.01767
44,0.0147725,0.0828031,1.01791
45,0.0136526,0.0852225,1.01856
46,0.0133022,0.0860251,1.01877
47,0.0123906,0.0883637,1.01945
48,0.0121371,0.0890543,1.01965
49,0.0113668,0.0913943,1.02034
50,0.0111777,0.0920067,1.02051
