Tolerance,Required Steps
0.9,1
0.9,2
0.855,3
0.81225,5
0.771637,1
0.733056,6
0.696403,7
0.739774,13
0.859878,16
0.886151,17
0.892848,22
0.917201,8
0.871341,30
0.965691,19
0.917406,49
0.967974,22
0.919575,64
0.972354,24
0.923736,73
0.974927,25
0.926181,84
0.97803,26
0.929128,94
0.980397,27
0.931377,104
0.982185,28
0.933075,114
0.983562,27
0.934384,129
0.986266,25
0.936953,145
0.98913,21
0.939673,162
0.99218,12
0.942571,174
0.996039,4
0.946237,178
0.898926,182
0.901147,346
0.948002,256
0.900602,602
0.957731,406
0.909845,1008
0.963687,498
0.915503,1472
0.971413,535
0.922843,1790
0.976939,570
0.928092,2170
0.981112,602
0.932056,2657
0.984606,640
0.964676,1667
0.995601,201
0.999,50
